,调用模块,调用函数,运行时间,返回值,备注
0,KNNClassify,__init__,0.00秒,,
1,KNNClassify,predict,0.00秒,2.0,
2,KNNClassify,__init__,0.00秒,,
3,KNNRegressor,__init__,0.00秒,,
4,KNNRegressor,predict,0.02秒,"[5.66 4.16 5.66 5.48 5.66 4.98 5.28 5.66 4.78 5.28 5.26 5.48 5.66 5.66
 4.8  5.66 4.8  5.66 4.86 5.66 5.66 4.76 4.88 5.5  5.44 5.66 5.52 5.5
 4.88 5.14 5.52 5.5  5.32 4.84 5.44 5.66 5.2  4.92 5.66 5.66 5.4  4.94
 5.06 5.44 4.88]",
5,KNNRegressor,fit,0.03秒,0.17064888888888902,
6,KNNClassify,predict,0.02秒,"[2. 1. 2. 2. 2. 1. 1. 2. 1. 2. 2. 2. 2. 2. 1. 2. 1. 2. 1. 2. 2. 1. 1. 2.
 2. 2. 2. 2. 1. 1. 2. 2. 2. 1. 2. 2. 1. 1. 2. 2. 2. 1. 1. 2. 1.]",
7,KNNClassify,fit,0.03秒,0.6222222222222222,
8,KNNClassify,__init__,0.00秒,,
9,KNNRegressor,__init__,0.00秒,,
10,KNNRegressor,predict,0.02秒,"[5.66 4.16 5.66 5.48 5.66 4.98 5.28 5.66 4.78 5.28 5.26 5.48 5.66 5.66
 4.8  5.66 4.8  5.66 4.86 5.66 5.66 4.76 4.88 5.5  5.44 5.66 5.52 5.5
 4.88 5.14 5.52 5.5  5.32 4.84 5.44 5.66 5.2  4.92 5.66 5.66 5.4  4.94
 5.06 5.44 4.88]",
11,KNNRegressor,fit,0.02秒,0.17064888888888902,
12,KNNClassify,predict,0.02秒,"[2. 1. 2. 2. 2. 1. 1. 2. 1. 2. 2. 2. 2. 2. 1. 2. 1. 2. 1. 2. 2. 1. 1. 2.
 2. 2. 2. 2. 1. 1. 2. 2. 2. 1. 2. 2. 1. 1. 2. 2. 2. 1. 1. 2. 1.]",
13,KNNClassify,fit,0.03秒,0.6222222222222222,
